"data","station","N_10","S_10","N_max","N_KS","S_KS","alpha_par","logk_par","AIC_par","BIC_par","alpha_exp","logk_exp","logb_exp","AIC_exp","BIC_exp"
"metaG",155,3054804,51744,31013,3054804,51744,1.63372290967168,1.35325089162692,438530.915625189,438548.623752714,1.63372361288517,1.35325113649921,-13.582654604823,438532.915625227,438559.477816515
"metaG",158,285061,10917,7573,168292,2208,0.963880374343708,0.916972935798455,18491.2672304166,18502.6669152314,0.890913608769729,0.875995064186936,-3.85463833565494,18488.1395303878,18505.23905761
"metaG",168,58041,1419,1959,52253,920,1.60485744318492,1.45246893952779,8274.1782533764,8283.82700071649,1.37494669796678,1.3842293116544,-3.23434461290218,8274.9262254345,8289.39934644463
"metaG",173,8989897,123737,107282,7342402,43064,1.9833599085776,2.05728254931482,478572.925273956,478590.266159277,1.98335841909481,2.0572822609767,-13.4720706177719,478574.925273994,478600.936601975
"metaG",175,4974303,43715,609545,3792161,6070,1.13938240765096,1.77214845458131,70752.581054233,70766.0032820012,1.13938036264189,1.77214751638642,-13.8918816784742,70754.5810542527,70774.7143959048
"metaG",178,36227,926,2028,36227,926,1.45444584865306,1.15212009061118,7349.5889625406,7359.25071100989,1.44526706669689,1.14898054386847,-4.61758801684853,7351.56862522649,7366.06124793043
"metaG",180,195568,6316,3325,128699,1320,0.821503760320586,0.920031698281333,11970.9436080241,11981.3143820552,0.632695702643999,0.791212350969757,-3.43891728812629,11955.3959859737,11970.9521470205
"metaG",188,23424386,186620,296049,20071355,43604,1.78688497233275,2.42260499085127,571863.10259851,571880.468406847,1.78689032724977,2.42260700638586,-13.6907612601504,571865.102598651,571891.151311155
"metaG",189,961393,23369,8636,917294,19322,2.53618461368924,1.69062171072413,168358.667895633,168374.405894877,2.53617847231972,1.69062042714767,-12.0668992919721,168360.667895735,168384.274894601
"metaG",191,926572,29315,14431,592319,5507,0.935590275353397,1.06596407369568,50561.1447787716,50574.3723293501,0.849946020652393,1.01612099133825,-3.94620055037265,50545.7715459304,50565.6128717982
"metaG",193,1586986,29860,68493,1257060,8960,1.18123625125893,1.34553220111022,85632.2466344871,85646.4476854991,1.18122019811499,1.3455243629609,-8.19536183579031,85634.2464687322,85655.5480452501
"metaG",194,2998569,81956,26660,2998569,81956,1.81167799018736,1.24248554257858,626010.214296518,626028.842172112,1.81167611840228,1.24248506569935,-14.0307769082453,626012.214296528,626040.156109918
"metaG",196,1981706,45518,75460,1813503,30535,1.54014912806049,1.22404711572328,246500.592870661,246517.246128352,1.54015036499069,1.2240476419995,-14.0610661820708,246502.59287067,246527.572757207
"metaG",201,4474324,49991,18883,4188300,31891,2.72169695664767,2.2288226893608,350691.981626349,350708.721784583,2.72169049665335,2.22882138585091,-13.0489957571383,350693.981626402,350719.091863754
"metaG",205,30008432,238155,152914,29641309,204506,1.27085362607252,1.51457761209597,2059259.17163254,2059279.62833773,1.27085390101374,1.5145777893338,-14.3087545016185,2059261.17163257,2059291.85669035
"metaG",206,617745,13893,14537,585321,10765,1.0184859452419,0.910191421220747,87419.8982615607,87434.4663723803,0.925486750629294,0.861264164413544,-3.63115617078366,87394.3532559688,87416.2054221982
"metaG",208,80414,2203,4084,54060,464,2.05468134119561,1.93704648493791,4854.48244747141,4862.76221657586,2.05470982056133,1.93705436901023,-10.354389382026,4856.48244751475,4868.90210117143
"metaG",209,1228740,22125,21757,988492,5622,0.975753525763687,1.36904028181099,58493.3108504095,58506.5797359124,0.904078952609652,1.32909628665458,-4.30750523070566,58483.2977128498,58503.2010411042
"metaG",210,454603,7513,10345,454603,7513,0.82466840305957,0.693957833778109,60182.131887315,60195.9806675797,0.699982730540317,0.608157894736708,-3.51207315189212,60127.5719066473,60148.3450770444
"metaT",7,62372,441,7100,60885,336,1.09730836089562,1.67447496739109,3817.00298007027,3824.6372023902,0.709825815507287,1.4770918627062,-3.4548312089044,3814.75285530164,3826.20418878153
"metaT",11,19819,167,3477,19314,128,1.20096582654731,1.6943484657425,1425.04691652476,1430.7509770526,0.791118264490113,1.51300086534784,-3.35028286666634,1425.68631644329,1434.24240723505
"metaT",18,48753,368,3358,48363,333,1.30194120589146,1.76564910159045,3713.49362271427,3721.10990769424,0.954866942245666,1.63296769802207,-3.44302938197419,3713.30267959494,3724.72710706488
"metaT",22,38620,608,2355,28160,170,1.58373829374296,1.84056171124371,1843.29730075991,1849.56889763401,1.45506356369176,1.80341104673685,-3.90115168611623,1845.17671856816,1854.58411387931
"metaT",23,100433,618,7926,100433,618,1.02203791485266,1.50920109011627,6717.65233338147,6726.50531029638,0.855598197882152,1.42195545159003,-3.87042367925077,6716.3367790639,6729.61624443628
"metaT",25,99952,792,8100,99952,792,1.12724666417416,1.54535195890274,8439.90957965315,8449.25870243678,0.830117253493208,1.40409887942577,-3.46054011577017,8435.46265434374,8449.48633851918
