"data","station","S","N","Nmean","Nvar","zeta","alpha","logk","BIC_betaprime","BIC_LN"
"metaT",188,137126,44379.0463901866,0.323636993642245,1.37199812539632,2.0446639516696,0.0681165337514713,-1.43779285049201,-169240.441946568,-165576.662654121
"metaT",189,16657,2602.31392410623,0.156229448526519,0.194453658454694,3.77684790331821,0.603782565900083,-1.59799404428986,-38077.1899850828,-37253.5889964433
"metaT",191,21556,4290.30999061728,0.199030895834908,0.69137572010295,0.915903206822249,0.176757736543837,-1.15029625610164,-45549.2867068362,-46119.489063206
"metaT",193,24154,4650.24551167058,0.192524861789789,0.281411678302849,2.60595242212472,0.793270628101777,-1.24217401465693,-42534.0072303105,-41809.064209992
"metaT",194,63614,11679.3565148861,0.183597266559029,0.205988205371994,1.02424463688655,0.290609229164213,-1.10678684844488,-125497.954358185,-126808.795012598
"metaT",196,40276,23435.5636521918,0.581874159603531,4.51365717676386,1.14137911246121,0.521304556958988,-0.566901049515392,7288.14425641988,7884.82406775809
"metaT",201,31693,7347.43280827904,0.231831407827566,0.506000725086941,2.98272859146458,-0.108292383589773,-1.92122383892909,-59685.3447314681,-58755.781059077
"metaT",205,167344,62695.4317036028,0.37465001257053,2.49873751117855,1.8872923667147,-0.0608148711339535,-1.50023229017189,-193176.101115924,-190142.073836207
"metaT",206,11082,5259.10842927081,0.474563113993035,1.95961955742351,0.948740399286436,0.949378513028091,-0.347197933479756,-248.041878070425,12.6293831914277
"metaT",208,1394,211.942088597499,0.15203880100251,0.31414341457617,6.66666666666667,-0.196902314248683,-2.66435051800643,-4383.80418205768,-4244.26623973166
"metaT",209,17171,8435.96418055742,0.491291373860428,3.53261788928549,0.892212348374678,0.515315189171907,-0.55685061318101,-5754.17711378715,-5551.9067532848
"metaT",210,5096,1477.78759062359,0.289989715585477,1.0170804982323,0.665411538779497,0.753109343364529,-0.506761617626405,-6279.58476199851,-6266.80970525036
