station,mu_KS,N_10,S_10,N_KS,S_KS,alpha,alpha_low,alpha_high,logk,logk_low,logk_high,logN_mean,logN_low,logN_high,KS,p_KS,AD,p_AD
111,15,239323,834,238295,748,1.1432756430593758,0.9874493208426166,1.3467394755357391,1.6152385370562603,1.5095039862144968,1.7321236611882806,5.194207766979776,4.996494653712928,5.705779336188502,0.01623255834607737,0.767,1.0509926608022828,0.252
122,10,308129,3076,308129,3076,1.1097883353703546,1.0369285303854576,1.1969987494573398,1.1382306586965294,1.0854787616724448,1.1911950027882137,5.4503945142388,5.285125349901644,5.92030822969294,0.00925799782417247,0.467,4.091650691849392,0.177
123,11,1504612,8147,1502672,7953,1.3543822154882421,1.2902175792237602,1.4226718538149368,1.8285957442287963,1.7940353192884777,1.862166084942872,6.189812164262196,6.1181366997343565,6.3923135443775765,0.0087199848029339,0.06,2.0025907685476705,0.565
124,10,239557,2463,239557,2463,1.2380431219527501,1.141004356535576,1.3529268856921304,1.3117977270170733,1.2519090066952847,1.368043137108865,5.3197392185806365,5.1992285656651775,5.649543054652332,0.011546690775065982,0.337,2.9703199931401194,0.174
125,10,231905,2928,231905,2928,1.1595197063840836,1.072951212500885,1.2563425552639589,1.2653988066485575,1.2035904199953849,1.32192763722315,5.467536761778979,5.317453796242725,5.921420937440153,0.010895126885675732,0.328,3.0677299637445112,0.755
128,12,33951,749,32666,626,1.3500690976135201,1.1501359246103495,1.6314418020549748,1.278363062227124,1.161828694981779,1.4113855134384488,4.583228263558406,4.464004903631726,4.8244514402104315,0.018106419658999062,0.684,1.543411961665451,0.881
131,11,102340,415,102260,407,0.9325129424146419,0.7975390043962509,1.1591348556813155,1.528366342918682,1.383928418045096,1.6797106827657162,5.199507983898109,4.826664890134278,6.092644587656427,0.030066209040164382,0.284,0.7492359179798876,0.623
132,28,87107,620,83848,431,1.1696115618438654,0.9729890512404181,1.4620456808615507,1.7453010137465517,1.6056825749992445,1.8996825743498973,5.050563284212181,4.841161823518013,5.523989020465832,0.025225306317807172,0.522,0.7555351933502964,0.412
135,11,5690,207,5430,181,1.2618317690177812,0.9441679001829835,1.8773527453920689,0.8559214864579037,0.6500509959497632,1.118097102329891,3.7664220980678347,3.6154081488627057,4.109936802282089,0.03360126891059401,0.521,1.8699812905635023,0.511
136,10,125958,787,125958,787,1.1030530254413404,0.9747889541048887,1.3239998406455047,1.655353500255659,1.5567964031943005,1.7772579901859695,5.302760813029438,5.0666253272379,5.863127639279917,0.023621918494980854,0.203,0.9529003932156317,0.365
137,11,168650,672,168510,658,1.112791196910893,0.9580219193648176,1.3083921919127484,1.8844828769968447,1.7776386155066082,2.005924745030449,5.435762916158762,5.1986607612196085,5.956019481795965,0.022291385163907218,0.449,0.8948318912002917,0.131
138,57,109629,558,101913,255,1.1111411530498119,0.8893041736794488,1.5461312017173703,1.9276390074886873,1.7537796669389762,2.1385180324246718,5.079450468228485,4.8219953175616785,5.688928748219753,0.020575010868487398,0.986,0.48665096484057285,0.857
142,10,38643,506,38643,506,1.494634443522745,1.2324554657430737,1.9066619979703696,1.5096010894164245,1.3640142886402846,1.660241081997359,4.559060172865471,4.43795537781777,4.787838014212652,0.01907120437998694,0.783,1.1599988017410874,0.485
143,28,70518,520,67785,363,1.2408812443774586,1.005223321898309,1.6551941765301574,1.7628447715165143,1.60978778137676,1.9563931516310904,4.900612178479772,4.718349487612584,5.325528150358466,0.02214391319641551,0.823,0.5871836314822451,0.854
144,55,22381,579,11902,100,3.8822155604748114,1.9926619611466467,569.2382282527466,2.2653290948749367,1.8805908416886976,4.451081931663001,4.073108347440957,4.013089084574811,4.1455140961930725,0.021054649870491788,1.0,0.5520272773303463,0.731
145,10,319467,1761,319467,1761,1.0522331551627289,0.9592627455430314,1.1629163890640495,1.478963134940023,1.4050249524818148,1.552247777017994,5.618838230615532,5.388038865787714,6.201625352107901,0.012182810592741511,0.534,1.5663666679645247,0.459
146,73,90928,666,77698,237,1.9506503814236358,1.463628004731031,3.2065296793270868,2.425953862587522,2.2485160792919996,2.7000645941866495,4.918783876520829,4.8209650599456815,5.056255767295424,0.023931770533341168,0.959,0.47913186464554136,0.869
