station,mu_KS,N_10,S_10,N_KS,S_KS,alpha,alpha_low,alpha_high,logk,logk_low,logk_high,logN_mean,logN_low,logN_high,KS,p_KS,AD,p_AD
125,18,802939,6502,772090,4079,1.072977934615483,1.0114678214464625,1.1417293184930597,1.4786166154728553,1.4313821441918477,1.5280126284113842,5.985374012904054,5.8007584941549455,6.515479165253757,0.011175561348407137,0.115,2.316790263742406,0.483
128,14,97705,1942,91186,1360,1.2282834338721489,1.099529478133454,1.3854555797169208,1.238714728897007,1.1578858761848605,1.3273402726085106,5.023144498998743,4.8896462972325105,5.316399979262342,0.008817906022299704,0.974,2.366985631834223,0.626
131,35,80186,736,71831,240,1.23992218359041,0.9833652730893496,1.73456029697511,1.8903605462509845,1.7195054297379793,2.111268486367813,4.834921589555603,4.640865349863851,5.334069204886382,0.03042186395290314,0.74,0.5672061339944005,0.718
132,11,50275,1267,49165,1156,1.5982163540783798,1.3866203648779556,1.8821489881901852,1.2946072054877402,1.200754413941409,1.3995070823963889,4.697469424056969,4.627579601029746,4.828246975448282,0.012244207122375061,0.797,2.479542439590675,0.666
135,16,32849,994,27902,578,1.5900321399994817,1.3107678436044377,2.033178635815861,1.316302959537858,1.1935938053181827,1.471189545453561,4.459214307262892,4.379009841677297,4.613405174495395,0.013264478054746731,0.952,1.6449724383942395,0.785
136,11,77672,1528,76192,1380,1.2511284119876775,1.1263437378431036,1.419244163893276,1.1729627397402884,1.0945101325997038,1.256690894491135,4.934735715461038,4.813113086150234,5.235016541377508,0.011818485119182875,0.714,2.8613987669777616,0.335
137,12,67707,1604,64947,1337,1.3825341932668098,1.2234890583715188,1.5779028338313736,1.243665769934749,1.1569787131462312,1.333822543823883,4.864456847057539,4.77404920867761,5.085928588443746,0.01581233864437742,0.285,2.5699228483900445,0.654
138,12,27915,917,26248,758,1.7159223017199223,1.4596733353824816,2.1427208150521855,1.2137004834072642,1.106839324365063,1.3457466802368663,4.411938238960102,4.350668994267929,4.513999885961639,0.01626774550788851,0.624,2.6402273740763222,0.328
142,17,21203,749,16621,388,2.3881034452659984,1.8130223373330194,3.723989498528619,1.5692238056972863,1.4051261779434168,1.821131255272219,4.2238982516010655,4.17509557957411,4.284502357627058,0.016996341564102013,0.952,1.221258563332191,0.767
143,13,22636,749,20479,551,2.1161883602505944,1.6963861753815141,2.884241635577911,1.4163023872186153,1.2758134877244098,1.5918267319192203,4.295356365356326,4.244936101442222,4.368058007946802,0.01297247077264585,0.981,1.768662055122374,0.658
