"station"	"latitude"	"longitude"	"depth_category"	"depth_nominal"	"month"	"SSD"	"temp_woa"	"sal_woa"	"no3_woa"	"po4_woa"	"sioh4_woa"	"dco"	"dcu"	"dfe"	"dzn"
163	76.102	2.0707	"SUR"	5	6	1440	2.1024325735855	34.8573112487793	5.71242904663086	0.448455005884171	4.170081615448	99.473	1.002	0.803	1.328
168	72.5491	44.0681	"SUR"	5	7	1440	4.87403926519769	34.8533897399902	0.328481465578079	0.246584743261337	1.56546890735626	98.118	0.965	0.704	1.163
173	78.9564	79.4201	"SUR"	5	7	1440	0.502915607757493	33.4063873291016	0.0579441264271736	0.431419432163239	1.37852168083191	169.737	0.937	2.913	1.273
175	79.2026	66.4827	"SUR"	5	7	1440	1.75086172389984	34.3293991088867	0.46165531873703	0.34891277551651	0.134307280182838	173.977	1.017	2.103	1.517
178	77.1604	73.2057	"SUR"	5	7	1440	2.17621416493426	31.9973907470703	0.635531961917877	0.580336391925812	5.19646167755127	179.211	0.979	3.032	1.372
180	74.8283	76.2096	"SUR"	5	7	1440	0.722317948282275	23.7509899139404	3.24548125267029	0.659778714179993	41.2840309143066	144.518	0.621	10.768	0.687
188	78.2518	91.8557	"SUR"	5	8	1440	-1.63001206336021	33.399787902832	0.0905959457159042	0.07424695789814	0	132.871	0.782	3.765	0.957
189	77.9028	117.1545	"SUR"	5	8	1215.5	0.189999997615814	28.9654903411865	0.182021409273148	0.332743346691132	5.24766635894775	163.4	0.842	7.17	0.977
191	71.5948	160.9381	"SUR"	5	9	930.5	0.505867740650222	24.9693088531494	0.608493089675903	1.00094926357269	13.5323495864868	248.819	0.716	9.23	0.902
193	71.0704	174.9917	"SUR"	5	9	873	0.31323168712299	29.6866912841797	0.267379462718964	0.813841462135315	5.53291177749634	218.994	0.823	5.095	1.085
194	73.3833	-168.1333	"SUR"	5	9	858.5	-0.809599397173637	28.774808883667	0.119744382798672	0.578117609024048	4.43373537063599	169.576	0.832	2.658	1.109
196	71.8895	-154.9101	"SUR"	5	9	833	1.75100512367238	27.7756996154785	0.151169687509537	0.419827103614807	4.85384941101074	122.722	0.826	4.115	1.07
201	74.2987	-85.7806	"SUR"	5	9	662.5	1.2564185028534	35.1462936401367	0.792999237775803	0.302075251936913	2.3946404059728	-999	-999	-999	-999
205	72.4693	-71.892	"SUR"	5	10	584.5	0.863434482950721	31.2192897796631	1.79327368736267	0.440587311983109	3.35527420043945	107.994	0.848	1.99	1.035
206	70.9618	-53.603	"SUR"	5	10	564.5	3.77841955184936	32.896900177002	1.78511774539948	0.0842517042377343	2.91491882006327	-999	-999	-999	-999
208	69.1136	-51.5086	"SUR"	5	10	508	5.20849544030382	33.1314125061035	1.63079333305359	0	3.1275737285614	-999	-999	-999	-999
209	64.7127	-53.0106	"SUR"	5	10	531.5	2.18174963804627	32.4420127868652	3.21612739562988	0.491306990385056	0.668157160282135	90.334	0.996	2.416	1.333
210	61.5442	-55.9865	"SUR"	5	10	535	4.10700767810822	33.9897994995117	3.41928625106812	0.553509712219238	2.27637243270874	61.584	1.006	0.427	1.519
